                             title                             | count 
 Rogue One                                                     |     3
 The Counselor                                                 |     3
 Grimsby                                                       |     3
 Hugo                                                          |     3
 Barbershop: The Next Cut                                      |     2
 Sing                                                          |     3
 Demain tout commence                                          |     2
 Transformers: Revenge of the Fallen                           |     3
 Maudie                                                        |     3
 Begin Again                                                   |     2
 The Boss                                                      |     1
 The Hills Have Eyes                                           |     1
 Dirty Grandpa                                                 |     1
 Easy A                                                        |     3
 The Warriors Gate                                             |     3
 Forgetting Sarah Marshall                                     |     3
 Man of Steel                                                  |     3
 The Invitation                                                |     3
 Paris pieds nus                                               |     1
 Maze Runner: The Scorch Trials                                |     3
 The Blind Side                                                |     3
 Billy Lynn's Long Halftime Walk                               |     2
 Piranha 3D                                                    |     3
 The Intent                                                    |     2
 Babel                                                         |     1
 Hot Fuzz                                                      |     3
 Slumdog Millionaire                                           |     1
 Teenage Mutant Ninja Turtles                                  |     3
 Before I Wake                                                 |     3
 Warcraft                                                      |     3
 Ender's Game                                                  |     2
 The Martian                                                   |     3
 The Escort                                                    |     3
 Sweeney Todd: The Demon Barber of Fleet Street                |     3
 Hidden Figures                                                |     3
 Moonlight                                                     |     1
 Rambo                                                         |     3
 Tropic Thunder                                                |     2
 Dear Zindagi                                                  |     2
 The Lovely Bones                                              |     3
 Ted 2                                                         |     3
 Spotlight                                                     |     3
 The Heat                                                      |     3
 The Karate Kid                                                |     3
 Café Society                                                  |     3
 Lady Macbeth                                                  |     1
 Shutter Island                                                |     2
 Django Unchained                                              |     2
 American Gangster                                             |     3
 San Andreas                                                   |     3
 Her                                                           |     3
 Let Me Make You a Martyr                                      |     3
 Love, Rosie                                                   |     2
 Half of a Yellow Sun                                          |     2
 Gone Girl                                                     |     3
 Koe no katachi                                                |     3
 Precious                                                      |     1
 Nymphomaniac: Vol. II                                         |     1
 Transformers: Age of Extinction                               |     3
 Dracula Untold                                                |     3
 Sinister                                                      |     2
 Christine                                                     |     2
 Tron                                                          |     3
 What to Expect When You're Expecting                          |     3
 The Wolverine                                                 |     3
 Kick-Ass 2                                                    |     3
 White Girl                                                    |     1
 American Hustle                                               |     2
 Salt                                                          |     3
 Death Proof                                                   |     1
 Lincoln                                                       |     3
 The DUFF                                                      |     1
 Furious 6                                                     |     3
 Scott Pilgrim vs. the World                                   |     3
 A Good Year                                                   |     3
 Sin City: A Dame to Kill For                                  |     3
 Lovesong                                                      |     1
 Ballerina                                                     |     3
 Ghostbusters                                                  |     3
 The Incredible Hulk                                           |     3
 Legion                                                        |     3
