                             title                             | count 
 The Age of Shadows                                            |     3
 Perfume: The Story of a Murderer                              |     3
 Friends with Benefits                                         |     2
 Fences                                                        |     1
 The Cabin in the Woods                                        |     1
 A Million Ways to Die in the West                             |     3
 The Neon Demon                                                |     2
 Blackhat                                                      |     3
 Pan's Labyrinth                                               |     3
 Joy                                                           |     1
 The Last Airbender                                            |     3
 Kynodontas                                                    |     2
 The Jungle Book                                               |     3
 Ted                                                           |     2
 Beyond the Gates                                              |     2
 Straight Outta Compton                                        |     3
 The Matchbreaker                                              |     2
 Tomorrowland                                                  |     3
 Transpecos                                                    |     1
 (500) Days of Summer                                          |     3
 How to Train Your Dragon                                      |     3
 Miracles from Heaven                                          |     3
 The Huntsman: Winter's War                                    |     3
 The Amazing Spider-Man                                        |     2
 Neighbors                                                     |     1
 Max                                                           |     2
 50/50                                                         |     3
 White House Down                                              |     3
 Locke                                                         |     1
 Star Trek                                                     |     3
 The World's End                                               |     3
 Mission: Impossible - Rogue Nation                            |     3
 The Midnight Meat Train                                       |     2
 Thor: The Dark World                                          |     3
 The Lone Ranger                                               |     3
 Alexander and the Terrible, Horrible, No Good, Very Bad Day   |     2
 Fantastic Mr. Fox                                             |     3
 42                                                            |     3
 Green Lantern                                                 |     3
 Midnight Special                                              |     3
 Nine Lives                                                    |     3
 Mamma Mia!                                                    |     3
 Unstoppable                                                   |     2
 Jackie                                                        |     3
 Knock Knock                                                   |     3
 Yoga Hosers                                                   |     3
 Lavender                                                      |     2
 The Proposal                                                  |     3
 Focus                                                         |     3
 Tramps                                                        |     2
 Child 44                                                      |     3
 Grown Ups                                                     |     1
 Independence Day: Resurgence                                  |     3
 Eastern Promises                                              |     3
 Cars                                                          |     3
 Iris                                                          |     1
 Horns                                                         |     3
 Patriots Day                                                  |     3
 Final Destination 5                                           |     2
 Ex Machina                                                    |     3
 The Fault in Our Stars                                        |     2
 Bride Wars                                                    |     2
 Lída Baarová                                                  |     3
 Max Steel                                                     |     3
 After Earth                                                   |     3
 Zipper                                                        |     2
 Paper Towns                                                   |     3
 10 Years                                                      |     3
 The Fighter                                                   |     3
 Law Abiding Citizen                                           |     3
 Lucy                                                          |     3
 The Princess and the Frog                                     |     3
 The Comedian                                                  |     1
 The Devil Wears Prada                                         |     2
 Magic Mike XXL                                                |     3
 Moon                                                          |     3
 The Stanford Prison Experiment                                |     3
 What's Your Number?                                           |     2
 The Twilight Saga: Eclipse                                    |     3
 The Curious Case of Benjamin Button                           |     3
 Macbeth                                                       |     2
 Steve Jobs                                                    |     2
 Wild                                                          |     3
 Elle                                                          |     3
 You Don't Mess with the Zohan                                 |     2
 Oculus                                                        |     2
 Black Mass                                                    |     3
 Rock of Ages                                                  |     3
 Don't Think Twice                                             |     2
 No Country for Old Men                                        |     3
 Oblivion                                                      |     3
 Good Kids                                                     |     1
 Endless Love                                                  |     2
 Bone Tomahawk                                                 |     3
 True Grit                                                     |     3
 I.T.                                                          |     3
 Shin Gojira                                                   |     3
 The Lives of Others                                           |     2
 The Void                                                      |     3
 Clown                                                         |     2
 The Thinning                                                  |     1
 Vicky Cristina Barcelona                                      |     2
 Maleficent                                                    |     3
 Absolutely Anything                                           |     2
 Despicable Me                                                 |     3
 X-Men Origins: Wolverine                                      |     3
 Up                                                            |     3
 Pain & Gain                                                   |     3
 Furious Seven                                                 |     3
 The Happening                                                 |     2
 Warrior                                                       |     3
 Search Party                                                  |     2
(1000 rows)

