          director_name           
----------------------------------
 Steven Soderbergh
 Lee Toland Krieger
 Mark Herman
 Mark Mylod
 Justin Lin
 Stewart Hendler
 Thor Freudenthal
 Akiva Schaffer
 Gauri Shinde
 Jon Lucas
 Andrew Stanton
 Erik Van Looy
 Jonathan Liebesman
 Asghar Farhadi
 Damián Szifron
 Kimberly Peirce
 Nancy Meyers
 Mark Andrews
 Bong Joon Ho
 Josh Boone
 Angelina Jolie
 Julie Taymor
 James Ponsoldt
 Tom McCarthy
 Alan Taylor
 Derek Cianfrance
 Lone Scherfig
 Patrick Hughes
 Aamir Khan
 Jonathan Glazer
 James Marsh
 Roman Polanski
 Kenneth Lonergan
 Marc Forster
 Michael Hoffman
 Patrick Tatopoulos
 Yorgos Lanthimos
 Ang Lee
 Juan José Campanella
 Chris Buck
 Ryan Coogler
 Ava DuVernay
 Stephen Frears
 Jean-Marc Vallée
 John Lasseter
 David Ayer
 Tate Taylor
 Luc Besson
 Spike Lee
 Babak Najafi
 Ron Howard
 Robert Eggers
 Jake Schreier
 Michael Bay
 Michael Grandage
 Quentin Tarantino
 Cedric Nicolas-Troyan
 David Dobkin
 Luca Guadagnino
 Brett Ratner
 Henry Joost
 Burr Steers
 Justin Simien
 Nimród Antal
 Olivier Megaton
 Gary Ross
 Tim Johnson
 Christopher Nolan
 Harmony Korine
 Michaël R. Roskam
 Jason Friedberg
 Dennis Gansel
 Evan Goldberg
 Hannes Holm
 John Wells
 Scott Waugh
 Mike Thurmeier
 Joseph Cedar
 Nacho Vigalondo
 Mel Gibson
 Rob Cohen
 David Fincher
 Roland Emmerich
 Garry Marshall
 Tom McGrath
 Dan Gilroy
 Sharon Maguire
 Dan Scanlon
 James Gunn
 Michael Patrick King
 Louis Leterrier
 Duncan Jones
 Joey Curtis
 Paolo Sorrentino
 Jason Reitman
 Brian Helgeland
 David Yates
 Theodore Melfi
 Andrés Muschietti
 Chris Weitz
 Phyllida Lloyd
 Sang-ho Yeon
 James Bobin
 Eran Creevy
 Henry Selick
 Simon Curtis
 Adam Shankman
 Christophe Lourdelet
 Jocelyn Moorhouse
 Christophe Gans
 Xavier Dolan
 Dan Mazer
 Antoine Fuqua
 Mick Jackson
 George Tillman Jr.
 Kathryn Bigelow
 Christian Alvart
 Cary Joji Fukunaga
 Bryan Bertino
 Matthew Vaughn
 Whit Stillman
 Brad Bird
 Gary Shore
 Nitesh Tiwari
 Gore Verbinski
 Ron Clements
 Jorge R. Gutiérrez
 Christopher Landon
 Edward Zwick
 Pete Travis
 Jake Szymanski
 David Frankel
 Ilya Naishuller
 J.D. Dillard
 Rian Johnson
 Frank Coraci
 Farren Blackburn
 David O. Russell
 Makoto Shinkai
 Kirsten Sheridan
 Sam Mendes
 Sam Taylor-Johnson
 Greg McLean
 Denis Villeneuve
 Jason Moore
 Ben Stiller
 Woody Allen
(479 rows)

