 movie_id | genre_id 
      174 |       11
      174 |       13
      174 |       17
      175 |        7
      175 |        8
      175 |       18
      176 |        3
      176 |        6
      176 |        8
      177 |        3
      177 |        8
      177 |       13
      178 |        3
      178 |        7
      179 |        1
      179 |        4
      179 |        5
      180 |        3
      180 |        7
      180 |        8
      181 |        7
      181 |       11
      182 |        1
      182 |        4
      183 |        6
      183 |       12
      183 |       13
      184 |       17
      185 |        5
      185 |       13
      186 |       11
      186 |       13
      187 |       13
      187 |       20
      188 |        1
      188 |       12
      188 |       13
      189 |        9
      189 |       13
      190 |        7
      190 |       11
      190 |       13
      191 |       11
      191 |       13
      192 |       13
      193 |        9
      193 |       10
      193 |       13
      194 |        1
      194 |        5
      194 |       17
      195 |        2
      195 |        3
      195 |       13
      196 |        3
      196 |        8
      196 |       17
      197 |        5
      197 |        9
      197 |       13
      198 |        8
      198 |       13
      198 |       19
      199 |        5
      199 |       13
      199 |       19
      200 |        3
      200 |        7
      200 |        9
      201 |        3
      201 |        8
      201 |       17
      202 |        1
      202 |       12
      202 |       13
      203 |        5
      203 |       13
      203 |       19
      204 |        3
      204 |        8
      204 |       17
      205 |        3
      205 |        4
      205 |        8
      206 |        3
      206 |        8
      206 |       17
      207 |        1
      207 |       13
      208 |        7
      208 |       11
      208 |       13
      209 |        7
      209 |       11
      210 |        1
      210 |        5
      210 |       13
      211 |        3
      211 |        8
      211 |       13
      212 |       13
      213 |        3
      213 |        8
      213 |       17
      214 |        3
      214 |        4
      214 |       13
      215 |        3
      215 |        8
      215 |       12
      216 |        3
      216 |        8
      216 |       12
      217 |        3
      217 |        8
      217 |       17
      218 |        3
      218 |        7
      218 |        8
      219 |        1
      219 |       13
      220 |        3
      220 |        7
      221 |        3
      221 |        8
      221 |       17
      222 |        7
      222 |        8
      222 |       18
      223 |        1
      223 |        4
      224 |        4
      224 |        9
      224 |       13
      225 |        7
      225 |        9
      226 |       13
      227 |        7
      227 |       11
      227 |       13
      228 |        3
      228 |        8
      228 |       17
      229 |        3
      229 |        6
      229 |        8
      230 |        1
      230 |        5
      230 |       17
      231 |       12
      231 |       13
      231 |       20
      232 |        5
      232 |        9
      232 |       13
      233 |        3
      233 |        8
      233 |       13
