  id  |                             title                             |                                                                                                                                                                                                              description                                                                                                                                                                                                              | runtime | revenue | review_id | director_id | time_id 
  905 | RoboCop                                                       | In 2028 Detroit, when Alex Murphy - a loving husband, father and good cop - is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer.                                                                                                                                                                                                           |     117 |   58.61 |       905 |         529 |       9
  260 | Norman: The Moderate Rise and Tragic Fall of a New York Fixer | Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later, when the politician becomes an influential world leader, Norman's life dramatically changes for better and worse.                                                                                                                                                                                         |     118 |    2.27 |       260 |         375 |      11
  615 | Don Jon                                                       | A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.                                                                                                                                                                                                                                            |      90 |   24.48 |       615 |         439 |       8
  276 | Oblivion                                                      | A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.                                                                                                                                                                                                                                                                                                             |     124 |   89.02 |       276 |          83 |       8
  578 | Tron                                                          | The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.                                                                                                                                                                                                      |     125 |  172.05 |       578 |          83 |       5
  339 | The Fault in Our Stars                                        | Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.                                                                                                                                                                                                                                                                                                                                  |     126 |  124.87 |       339 |         223 |       9
  116 | Office Christmas Party                                        | When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...                                                                                                                                                                                                                                |     105 |   54.73 |       116 |         115 |      11
  568 | Juno                                                          | Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child.                                                                                                                                                                                                                                                                                                                       |      96 |  143.49 |       568 |         432 |       2
  670 | Blood Diamond                                                 | A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.                                                                                                                                                                                                                                                                                                                        |     143 |   57.37 |       670 |         511 |       1
  881 | Shin Gojira                                                   | Japan is plunged into chaos upon the appearance of a giant monster.                                                                                                                                                                                                                                                                                                                                                                   |     120 |    1.91 |       881 |         335 |      11
  925 | Superman Returns                                              | Superman reappears after a long absence, but is challenged by an old foe who uses Kryptonian technology for world domination.                                                                                                                                                                                                                                                                                                         |     154 |  200.07 |       925 |         568 |       1
  997 | Hostel: Part II                                               | Three American college students studying abroad are lured to a Slovakian hostel, and discover the grim reality behind it.                                                                                                                                                                                                                                                                                                             |      94 |   17.54 |       997 |         600 |       2
  870 | Mission: Impossible III                                       | Agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fianceé in response .                                                                                                                                                                                                                                                                                                   |     126 |  133.38 |       870 |         175 |       1
  734 | The Da Vinci Code                                             | A murder inside the Louvre and clues in Da Vinci paintings lead to the discovery of a religious mystery protected by a secret society for two thousand years -- which could shake the foundations of Christianity.                                                                                                                                                                                                                    |     149 |  217.54 |       734 |         312 |       1
  490 | Ratatouille                                                   | A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.                                                                                                                                                                                                                                                                                                                                      |     111 |  206.44 |       490 |         487 |       2
  525 | Trust                                                         | A teenage girl is targeted by an online sexual predator.                                                                                                                                                                                                                                                                                                                                                                              |     106 |    0.06 |       525 |         384 |       5
  986 | Your Highness                                                 | When Prince Fabious's bride is kidnapped, he goes on a quest to rescue her... accompanied by his lazy useless brother Thadeous.                                                                                                                                                                                                                                                                                                       |     102 |   21.56 |       986 |         132 |       6
  468 | Enemy                                                         | A man seeks out his exact look-alike after spotting him in a movie.                                                                                                                                                                                                                                                                                                                                                                   |      91 |    1.01 |       468 |         559 |       8
  990 | Selma                                                         | A chronicle of Martin Luther King's campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama in 1965.                                                                                                                                                                                                                                                                                               |     128 |   52.07 |       990 |         284 |       9
  144 | Room                                                          | A young boy is raised within the confines of a small shed.                                                                                                                                                                                                                                                                                                                                                                            |     118 |   14.68 |       144 |          71 |      10
  652 | Solace                                                        | A psychic works with the FBI in order to hunt down a serial killer.                                                                                                                                                                                                                                                                                                                                                                   |     101 |         |       652 |         632 |      10
  592 | Adoration                                                     | A pair of childhood friends and neighbors fall for each other's sons.                                                                                                                                                                                                                                                                                                                                                                 |     112 |    0.32 |       592 |         133 |       8
