  id  |                             title                             |                                                                                                                                                                                                              description                                                                                                                                                                                                              | runtime | revenue | review_id | director_id | time_id 
  659 | Eastern Promises                                              | A Russian teenager living in London who dies during childbirth leaves clues to a midwife in her journal that could tie her child to a rape involving a violent Russian mob family.                                                                                                                                                                                                                                                    |     100 |   17.11 |       659 |         638 |       2
  709 | The Judge                                                     | Big-city lawyer Hank Palmer returns to his childhood home where his father, the town's judge, is suspected of murder. Hank sets out to discover the truth and, along the way, reconnects with his estranged family.                                                                                                                                                                                                                   |     141 |   47.11 |       709 |         329 |       9
  325 | The Social Network                                            | Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business.                                                                                                                                                                                             |     120 |   96.92 |       325 |         382 |       5
  278 | Zodiac                                                        | In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.                                                                                                                                                                                                             |     157 |   33.05 |       278 |         382 |       2
  426 | The Curious Case of Benjamin Button                           | Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.                                                                                                                                                                                                                                                                                                                                       |     166 |  127.49 |       426 |         382 |       3
   84 | Gone Girl                                                     | With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.                                                                                                                                                                                                                                                             |     149 |  167.74 |        84 |         382 |       9
  224 | The Girl with the Dragon Tattoo                               | Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.                                                                                                                                                                                                                                                                                     |     158 |  102.52 |       224 |         382 |       6
   74 | Collateral Beauty                                             | Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.                                                                                                                                                                                          |      97 |   30.98 |        74 |         524 |      11
  298 | The Devil Wears Prada                                         | A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine.                                                                                                                                                                                                                                                                                          |     109 |  124.73 |       298 |         524 |       1
  259 | Lights Out                                                    | Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with an entity attached to their mother.                                                                                                                                                                                                                                                                |      81 |   67.24 |       259 |          39 |      11
  661 | Pineapple Express                                             | A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.                                                                                                                                                                                                                                   |     111 |   87.34 |       661 |         132 |       3
  294 | The Exception                                                 | A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation.                                                                                                                                                                                                |     107 |         |       294 |         577 |      11
  344 | Pete's Dragon                                                 | The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon.                                                                                                                                                                                                                                                                                                                          |     102 |    76.2 |       344 |          69 |      11
  155 | Twin Peaks: The Missing Pieces                                | Twin Peaks before Twin Peaks (1990) and at the same time not always and entirely in the same place as Twin Peaks: Fire Walk with Me (1992). A feature film which presents deleted scenes from Twin Peaks: Fire Walk with Me (1992) assembled together for the first time in an untold portion of the story's prequel.                                                                                                                 |      91 |         |       155 |         431 |       9
  966 | Inland Empire                                                 | As an actress starts to adopt the persona of her character in a film, her world starts to become nightmarish and surreal.                                                                                                                                                                                                                                                                                                             |     180 |         |       966 |         431 |       1
  106 | Hell or High Water                                            | A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.                                                                                                                                                                                                                                                                                                      |     102 |   26.86 |       106 |          73 |      11
  337 | Silver Linings Playbook                                       | After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.                                                                                                                                                                                            |     122 |  132.09 |       337 |         541 |       7
  348 | American Hustle                                               | A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia.                                                                                                                                                                                                                                   |     138 |  150.12 |       348 |         541 |       8
  352 | Joy                                                           | Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty.                                                                                                                                                                                                                                                                                                              |     124 |   56.44 |       352 |         541 |      10
  760 | The Fighter                                                   | A look at the early years of boxer "Irish" Micky Ward and his brother who helped train him before going pro in the mid 1980s.                                                                                                                                                                                                                                                                                                         |     116 |   93.57 |       760 |         541 |       5
  902 | Snakes on a Plane                                             | An FBI agent takes on a plane full of deadly and venomous snakes, deliberately released to kill a witness being flown from Honolulu to Los Angeles to testify against a mob boss.                                                                                                                                                                                                                                                     |     105 |   34.01 |       902 |         260 |       1
  223 | It Follows                                                    | A young woman is followed by an unknown supernatural force after a sexual encounter.                                                                                                                                                                                                                                                                                                                                                  |     100 |   14.67 |       223 |          53 |       9
  422 | The Babysitters                                               | A teenager turns her babysitting service into a call-girl service for married guys after fooling around with one of her customers.                                                                                                                                                                                                                                                                                                    |      88 |    0.04 |       422 |         346 |       2
  942 | The Twilight Saga: Eclipse                                    | As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.                                                                                                                                                                                                                            |     124 |  300.52 |       942 |         318 |       5
  945 | Riddick                                                       | Left for dead on a sun-scorched planet, Riddick finds himself up against an alien race of predators. Activating an emergency beacon alerts two ships: one carrying a new breed of mercenary, the other captained by a man from Riddick's past.                                                                                                                                                                                        |     119 |      42 |       945 |         587 |       8
  108 | The Legend of Tarzan                                          | Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.                                                                                                                                                                                                                                                                                    |     110 |  126.59 |       108 |         433 |      11
  474 | Harry Potter and the Half-Blood Prince                        | As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as "the property of the Half-Blood Prince" and begins to learn more about Lord Voldemort's dark past.                                                                                                                                                                                                                                              |     153 |  301.96 |       474 |         433 |       4
  315 | Harry Potter and the Order of the Phoenix                     | With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.                                                                                                                                                                                                                                              |     138 |     292 |       315 |         433 |       2
  115 | Harry Potter and the Deathly Hallows: Part 2                  | Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.                                                                                                                                                                                                                                                                                 |     130 |  380.96 |       115 |         433 |       6
  419 | Harry Potter and the Deathly Hallows: Part 1                  | As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.                                                                                                                                                                                                                                                                  |     146 |  294.98 |       419 |         433 |       5
   11 | Fantastic Beasts and Where to Find Them                       | The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.                                                                                                                                                                                                                                                                             |     133 |  234.02 |        11 |         433 |      11
  773 | How to Train Your Dragon                                      | A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.                                                                                                                                                                                                                                                              |      98 |  217.39 |       773 |         603 |       5
  904 | How to Train Your Dragon 2                                    | When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.                                                                                                                                                                                                                          |     102 |     177 |       904 |         603 |       9
  607 | Winter's Bone                                                 | An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.                                                                                                                                                                                                                                                                           |     100 |         |       607 |         455 |       5
  154 | Sicario                                                       | An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.                                                                                                                                                                                                                                                                             |     121 |   46.88 |       154 |         559 |      10
  714 | Incendies                                                     | Twins journey to the Middle East to discover their family history, and fulfill their mother's last wishes.                                                                                                                                                                                                                                                                                                                            |     131 |    6.86 |       714 |         559 |       5
   91 | Prisoners                                                     | When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.                                                                                                                                                                                                                                                                              |     153 |   60.96 |        91 |         559 |       8
   20 | Arrival                                                       | When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors.                                                                                                                                                                                                                                                                |     116 |   100.5 |        20 |         559 |      11
  838 | You Don't Mess with the Zohan                                 | An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.                                                                                                                                                                                                                                                                                                                             |     113 |  100.02 |       838 |         155 |       3
  459 | Just Go with It                                               | On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.                                                                                                                                                                                                                                      |     117 |  103.03 |       459 |         155 |       6
  395 | Grown Ups 2                                                   | After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and 400 costumed party crashers sometimes crazy follows you.                                                                                                                                                                                       |     101 |  133.67 |       395 |         155 |       8
  723 | Grown Ups                                                     | After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.                                                                                                                                                                                                                                                                                            |     102 |     162 |       723 |         155 |       5
  415 | Mechanic: Resurrection                                        | Arthur Bishop thought he had put his murderous past behind him, until his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations, and do what he does best: make them look like accidents.                                                                                                                                                                |      98 |    21.2 |       415 |         358 |      11
  131 | Fences                                                        | A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.                                                                                                                                                                                                                                                                                                    |     139 |   57.64 |       131 |          54 |      11
  444 | Blue Valentine                                                | The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.                                                                                                                                                                                                                                                                                               |     112 |     9.7 |       444 |         242 |       5
  136 | The Place Beyond the Pines                                    | A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective.                                                                                                                                                                                          |     140 |   21.38 |       136 |         242 |       7
  191 | The Light Between Oceans                                      | A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from a drifting rowing boat.                                                                                                                                                                                                                                                                                                      |     133 |   12.53 |       191 |         242 |      11
  476 | Eddie the Eagle                                               | The story of Eddie Edwards, the notoriously tenacious British underdog ski jumper who charmed the world at the 1988 Winter Olympics.                                                                                                                                                                                                                                                                                                  |     106 |   15.79 |       476 |         381 |      11
  825 | Man Down                                                      | In a post-apocalyptic America, former U.S. Marine Gabriel Drummer searches desperately for the whereabouts of his son, accompanied by his best friend and a survivor.                                                                                                                                                                                                                                                                 |      90 |         |       825 |         212 |      10
  972 | Disturbia                                                     | A teen living under house arrest becomes convinced his neighbor is a serial killer.                                                                                                                                                                                                                                                                                                                                                   |     105 |   80.05 |       972 |         308 |       2
  764 | Eagle Eye                                                     | Jerry and Rachel are two strangers thrown together by a mysterious phone call from a woman they have never met. Threatening their lives and family, she pushes Jerry and Rachel into a series of increasingly dangerous situations, using the technology of everyday life to track and control their every move.                                                                                                                      |     118 |  101.11 |       764 |         308 |       3
  455 | I Am Number Four                                              | Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story.                                                                                                                                                                                                                                                 |     109 |   55.09 |       455 |         308 |       6
  238 | The Disappointments Room                                      | A mother and her young son release unimaginable horrors from the attic of their rural dream home.                                                                                                                                                                                                                                                                                                                                     |      85 |    2.41 |       238 |         308 |      11
   26 | Paris pieds nus                                               | Fiona visits Paris for the first time to assist her myopic Aunt Martha. Catastrophes ensue, mainly involving Dom, a homeless man who has yet to have an emotion or thought he was afraid of expressing.                                                                                                                                                                                                                               |      83 |         |        26 |         250 |      11
  449 | Big Hero 6                                                    | The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.                                                                                                                                                                                                                                                           |     102 |  222.49 |       449 |         240 |       9
  717 | Entourage                                                     | Movie star Vincent Chase, together with his boys Eric, Turtle, and Johnny, are back - and back in business with super agent-turned-studio head Ari Gold on a risky project that will serve as Vince's directorial debut.                                                                                                                                                                                                              |     104 |   32.36 |       717 |         129 |      10
  201 | Edge of Tomorrow                                              | A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.                                                                                                                                                                                                                                                                                                                     |     113 |  100.19 |       201 |         294 |       9
  688 | Jumper                                                        | A teenager with teleportation abilities suddenly finds himself in the middle of an ancient war between those like him and their sworn annihilators.                                                                                                                                                                                                                                                                                   |      88 |   80.17 |       688 |         294 |       3
  885 | Equals                                                        | In an emotionless utopia, two people fall in love when they regain their feelings from a mysterious disease, causing tensions between them and their society.                                                                                                                                                                                                                                                                         |     101 |    0.03 |       885 |         421 |      10
  303 | The Cabin in the Woods                                        | Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.                                                                                                                                                                                                                                                                                      |      95 |   42.04 |       303 |         127 |       7
  637 | Source Code                                                   | A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train. A mission he has only 8 minutes to complete.                                                                                                                                                                                                                                          |      93 |    54.7 |       637 |         412 |       6
  599 | Moon                                                          | Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.                                                                                                                                                                     |      97 |    5.01 |       599 |         412 |       4
   92 | Warcraft                                                      | As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.                                                                                                                                                                                                                                                                           |     123 |   47.17 |        92 |         412 |      11
  160 | Hot Fuzz                                                      | Exceptional London cop Nicholas Angel is involuntarily transferred to a quaint English village and paired with a witless new partner. While on the beat, Nicholas suspects a sinister conspiracy is afoot with the residents.                                                                                                                                                                                                         |     121 |   23.62 |       160 |         114 |       2
  800 | The World's End                                               | Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.                                                                                                                                                                                                                                                                                    |     109 |      26 |       800 |         114 |       8
  159 | Scott Pilgrim vs. the World                                   | Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.                                                                                                                                                                                                                                                                                                                                             |     112 |   31.49 |       159 |         114 |       5
  757 | Lavender                                                      | After losing her memory, a woman begins to see unexplained things after her psychiatrist suggests she visit her childhood home.                                                                                                                                                                                                                                                                                                       |      92 |         |       757 |         522 |      11
  164 | Jack Reacher: Never Go Back                                   | Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever.                                                                                                                                                                                                     |     118 |    58.4 |       164 |         511 |      11
  631 | Love & Other Drugs                                            | A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh.                                                                                                                                                                                                                                                                                                                                 |     112 |   32.36 |       631 |         511 |       5
  251 | Bonjour Anne                                                  | Anne is at a crossroads in her life. Long married to a successful, driven but inattentive movie producer, she unexpectedly finds herself taking a car trip from Cannes to Paris with a ... See full summary »                                                                                                                                                                                                                         |      92 |    0.32 |       251 |         510 |      11
  266 | Knock Knock                                                   | A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.                                                                                                                                                                                                                                                                      |      99 |    0.03 |       266 |         600 |      10
  528 | The Green Inferno                                             | A group of student activists travels to the Amazon to save the rain forest and soon discover that they are not alone, and that no good deed goes unpunished.                                                                                                                                                                                                                                                                          |     100 |    7.19 |       528 |         600 |       8
  509 | Movie 43                                                      | A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.                                                                                                                                                                                                                                                                                |      94 |    8.83 |       509 |         301 |       8
  412 | Pitch Perfect 2                                               | After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.                                                                                                                                                                                                                         |     115 |  183.44 |       412 |         301 |      10
  153 | White Girl                                                    | Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back.                                                                                                                                                                                                                                                                             |      88 |     0.2 |       153 |         328 |      11
  376 | Collide                                                       | An American backpacker gets involved with a ring of drug smugglers as their driver, though he winds up on the run from his employers across Cologne high-speed Autobahn.                                                                                                                                                                                                                                                              |      99 |     2.2 |       376 |         448 |      11
  494 | Point Break                                                   | A young FBI agent infiltrates an extraordinary team of extreme sports athletes he suspects of masterminding a string of unprecedented, sophisticated corporate heists.                                                                                                                                                                                                                                                                |     114 |   28.77 |       494 |         337 |      10
  275 | Ballerina                                                     | An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house.                                                                                                                                                                                                                                                |      89 |         |       275 |         550 |      11
  836 | The Loft                                                      | Five married guys conspire to secretly share a penthouse loft in the city--a place where they can carry out hidden affairs and indulge in their deepest fantasies. But the fantasy becomes a nightmare when they discover the dead body of an unknown woman in the loft, and they realize one of the group must be involved.                                                                                                          |     108 |    5.98 |       836 |         196 |       9
  458 | Get Hard                                                      | When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars.                                                                                                                                                                                                                                                                                                   |     100 |   90.35 |       458 |         607 |      10
  744 | True Grit                                                     | A tough U.S. Marshal helps a stubborn teenager track down her father's murderer.                                                                                                                                                                                                                                                                                                                                                      |     110 |  171.03 |       744 |          22 |       5
  137 | No Country for Old Men                                        | Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.                                                                                                                                                                                                                                                                                          |     122 |   74.27 |       137 |          22 |       2
